% Model:              RylanTestCoilSeveralContours.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 26 2025, 09:33
% Dimension:          1
% Nodes:              461
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Magnetic flux density, z-component
0                         -0.7268614454656708
2.8895115762672674E-4     -0.7275624409610837
9.027982567162418E-4      -0.7290516339958792
0.0020270629020475717     -0.731779099974914
0.002797950184032949      -0.7336492724863579
0.0030563215650589726     -0.7342760814451134
0.005836321830650526      -0.7410203619644683
0.012393966687252789      -0.7569292080918018
0.013351561046899274      -0.7592523319652555
0.015386128615498595      -0.7659074938913996
0.015386128615498595      -0.7641881927952134
0.015549811587911577      -0.7651818541408355
0.019600501924688096      -0.7589463332173914
0.02074872918679782       -0.7573346184209407
0.022238187190267045      -0.7552439334301622
0.024602218976447876      -0.7519256486839211
0.02474694881421069       -0.7517224979412868
0.028307511721871847      -0.7467246964508003
0.029091602672890016      -0.745624103363333
0.03293734071767407       -0.7402260144008037
0.03365952549094864       -0.7392123162216448
0.035866294256945874      -0.736114774480668
0.03586629425694632       -0.760301814365812
0.03591441474317847       -0.7595602596761771
0.03596800811425682       -0.7587343657842451
0.041778152731798635      -0.6691978642665298
0.04225915822504156       -0.6617853897223082
0.04276649994612303       -0.6539670640574947
0.04362425532862524       -0.640748732817448
0.04362425532862524       -0.641586780869681
0.0443925792835711        -0.6285140192334174
0.046232252496866355      -0.5972126270911811
0.05083084229897983       -0.5189692403543713
0.05371672853026954       -0.4698669019876217
0.05508795992268567       -0.44653588253179866
0.05640486456961469       -0.424129213526912
0.05841017910278801       -0.39000949263422774
0.06056511402115605       -0.3533440335552198
0.06549938021569046       -0.24999161091010583
0.06733864729257766       -0.19778560856382865
0.06815473965162333       -0.18322835895289324
0.06869579724934738       -0.17357711002663992
0.06886710141534813       -0.18103056313585486
0.06973624608438289       -0.1285225550138252
0.0699704611880918        -0.11154084079435408
0.07149918480159156       0.005704390078675334
0.07149918480159156       -7.010737857593152E-4
0.07399860106457234       0.18088213124480607
0.07574952935966994       0.3036002507601132
0.07773087729850703       0.44246789819056564
0.07898442022141383       0.5303255395694784
0.0807856229831696        0.6565672688323929
0.08181879791289148       0.7289798769676645
0.08360216433546563       0.8539715024944383
0.08397023937825487       0.8797689478941637
0.08422808878760835       0.8978409584514311
0.08618656584021345       1.0351056435230879
0.08618656584021389       1.0597307804956562
0.08658181910927887       1.0939569469263992
0.08800884486795413       1.2175273888177678
0.08908863618103036       1.3110297582712875
0.09157925414297452       1.5266998400963736
0.09220563441485474       1.580939987141906
0.09243106852869865       1.6004610034204962
0.09431313015658116       1.7188004500792087
0.09642194524695213       2.0113575046606584
0.09849267682037421       2.342459075877824
0.09979731022739591       2.551064660721167
0.10030483122729628       2.6322152080203205
0.10189755329652739       2.886885000282731
