% Model:              RylanSaddleCoilTest4.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jun 19 2025, 13:51
% Dimension:          3
% Nodes:              199
% Expressions:        3
% Description:        Magnetic flux density, x-component, Magnetic flux density, y-component, Magnetic flux density, z-component
% Length unit:        m
% x                       y                        z                        mf.Bx (T)                mf.By (T)                mf.Bz (T)
0                         0.29158826658073933      0                        -1.554598967679834E-10   3.6773733319267636E-10   -1.2089222319141868E-6
0                         0.2944299414988155       0                        1.598794474679289E-10    4.602547614297432E-10    -1.2098466629406563E-6
0                         0.28862835746193083      0                        -1.9089998630704873E-10  -1.9014106122184877E-11  -1.2078164654849348E-6
0                         0.2973792120952443       0                        6.340082793625924E-12    1.804341500855989E-10    -1.2106912609788878E-6
0                         0.29999999999999993      0                        -1.1233260153857103E-10  0                        -1.2113879340568889E-6
0                         0.28861026328171946      0                        -5.6256058850392025E-11  -8.721961541698998E-12   -1.20811895666787E-6
0                         0.2857842049916287       0                        -4.0889084582857013E-10  -7.467374283389562E-10   -1.2045202893609623E-6
0                         0.2885959347539674       0                        3.561535665250299E-11    7.500150796976712E-11    -1.2083367589188964E-6
0                         0.285731832463641        0                        -1.855394019522402E-10   -3.8834415080679863E-10  -1.2049086556737747E-6
0                         0.2784410039978469       0                        7.967269447269946E-11    2.1766135603387225E-10   -1.193555747924216E-6
0                         0.27901569057591147      0                        1.2249852117889516E-10   -1.0241080308622917E-10  -1.1956713692942284E-6
0                         0.2792876246799286       0                        1.996764603598091E-10    -1.0417721304979962E-9   -1.195713805245776E-6
0                         0.27795313677070665      0                        2.0692600263509918E-10   -1.264352702536846E-9    -1.1926070174018335E-6
0                         0.27818605447348166      0                        1.59309908138902E-10     -8.990756405087995E-10   -1.1922608912335936E-6
0                         0.27286427455413764      0                        -5.825074842896166E-10   -8.119982587627107E-10   -1.1784154477274072E-6
0                         0.2672216075366728       0                        2.1287351146014949E-10   1.5201618887382406E-9    -1.1511282202989397E-6
0                         0.2677898246137703       0                        -4.033447234574961E-10   5.500469901484181E-10    -1.1531371787821663E-6
0                         0.26832722554416544      0                        5.302973686505746E-10    1.7326335353134071E-9    -1.1554091811603488E-6
0                         0.27241769932780735      0                        -1.334411813731228E-9    -1.679710916157009E-9    -1.1756682287317731E-6
0                         0.2626554046433097       0                        -1.9193806116968506E-10  -5.7781820075205526E-11  -1.1186996509914614E-6
0                         0.2619728049706044       0                        2.6039195121056763E-10   -3.039613411660548E-10   -1.1156777242900055E-6
0                         0.25678387556148674      0                        -2.171037994634561E-11   -3.164926779861988E-9    -1.047173824881136E-6
0                         0.25736255060872615      0                        -4.929713717788588E-10   -2.038821598046595E-9    -1.0553489773457233E-6
0                         0.25294035927417935      0                        -5.193425766261378E-9    2.4376099462196636E-9    -9.952559822675483E-7
0                         0.2525819001663906       0                        -2.2590716955586153E-9   5.5228091167614184E-9    -9.955188621412407E-7
0                         0.25288461424226494      0                        -1.9564299352789963E-9   1.1858989609177163E-9    -9.925328810129562E-7
0                         0.2520649790922569       0                        -3.0106299334117133E-9   1.6603243068146026E-9    -9.865515559228972E-7
0                         0.25216577571518284      0                        -2.0241905411784583E-9   9.302560423843577E-9     -9.907162760298226E-7
0                         0.24672474073974268      0                        2.5955621849275235E-9    1.1227382309666806E-8    -8.370562067422973E-7
0                         0.24288363070655936      0                        -6.435913566063639E-9    1.8378434357076148E-9    -7.303879488780459E-7
0                         0.2452197284615277       0                        -3.692775566950979E-9    6.980465153659889E-9     -7.974105690485279E-7
0                         0.24097050720753385      0                        4.519435571839118E-9     3.84810999023973E-9      -6.427740405882573E-7
0                         0.24064692838269672      0                        1.4175184167888194E-8    8.915484354644216E-9     -6.246406925261422E-7
0                         0.2397897596525169       0                        9.944373216858518E-10    8.245779489252056E-9     -6.050641821758644E-7
0                         0.2315992738374534       0                        -1.0133963286960755E-8   -5.595511741648357E-9    -1.53768704509184E-7
0                         0.23815813987570042      0                        -3.1328400221650603E-9   -1.308542182682352E-8    -5.198353045731181E-7
0                         0.2391242418495884       0                        -1.0401033307836452E-8   8.91966663101746E-9      -5.798417542792913E-7
0                         0.2295444333341298       0                        -3.573338278012855E-9    2.688266501772449E-9     3.526924576048554E-8
0                         0.22873166088842903      0                        1.2062071537686986E-9    -1.1759496634922532E-8   7.948670338556253E-8
0                         0.2242097202849899       0                        -1.3435456824602136E-8   6.458862640370481E-9     4.800255702573158E-7
0                         0.22430242230666916      0                        -1.471201210200413E-8    5.702054555129799E-9     4.705788534347688E-7
0                         0.22782421523313498      0                        8.587335611167165E-9     -7.899839674236647E-9    1.3848611728110203E-7
0                         0.22213780591249085      0                        6.361243796590595E-9     2.2691452597286563E-8    7.248318553949837E-7
0                         0.22221245026002054      0                        -3.4207466316994784E-9   2.4103097057691E-8       7.168615782284169E-7
0                         0.21945529374891995      0                        1.3521594294129703E-8    -1.671661660902049E-9    1.0055823002529436E-6
0                         0.21040184506960377      0                        1.7502473670767183E-8    -2.8485264895126682E-8   2.3674917261792775E-6
0                         0.21042007860974535      0                        2.591040609203609E-8     -7.443577252922388E-8    2.37294943381779E-6
0                         0.21232663535316462      0                        7.223166859712652E-9     -3.258371739703826E-8    2.0831781108061774E-6
0                         0.2098986324348708       0                        1.2436887277626657E-8    9.816900538788846E-9     2.4606935541810822E-6
0                         0.20967289072973946      0                        1.09814304619176E-8      -5.880827742102886E-10   2.5311960947497356E-6
0                         0.2087066837099774       0                        -1.10125607724142E-9     -1.0976228890310883E-8   2.7117639504216504E-6
0                         0.20830544729003217      0                        -9.415430286963367E-9    -1.3050764127239396E-8   2.775617856010558E-6
0                         0.200640701679729        0                        3.854580510183085E-9     4.158872705908056E-9     4.300076702906469E-6
0                         0.20408186739689085      0                        -4.5658235262494106E-9   4.893848537473064E-9     3.610104103725058E-6
0                         0.1991748396204274       0                        6.5337575160733795E-9    7.866980364517656E-9     4.624602220024801E-6
0                         0.19525417659833313      0                        -1.493353035921393E-9    -2.132896191336872E-9    5.493521786956963E-6
0                         0.18477842675976766      0                        -5.860161016125384E-9    -4.323588804124113E-9    7.784333001941767E-6
0                         0.1876427834180632       0                        -3.0533461982903906E-9   2.9469467208799133E-9    7.160756943742597E-6
0                         0.18435347226476176      0                        1.3998462928021108E-8    4.55443982729236E-8      7.864523507876786E-6
0                         0.18448860625049426      0                        1.1004699422262162E-8    2.0227285619429796E-8    7.857455161040412E-6
0                         0.18454858353504414      0                        -4.9935686083291295E-9   -8.314224336238987E-9    7.833588838752265E-6
0                         0.1844996603283848       0                        -2.9767043673631568E-9   -3.519974906205705E-9    7.844912409487478E-6
0                         0.1843335436427014       0                        -1.040203508229764E-8    4.639661350898308E-8     7.81459695264563E-6
0                         0.1842511600059711       0                        3.038073863635806E-11    -6.876030311473919E-9    7.84917278614609E-6
0                         0.18426338294318614      0                        -6.47600005736202E-9     2.7833542236279813E-8    7.819219439750512E-6
0                         0.18332669599633136      0                        -7.443505413224063E-9    -1.8187292153286828E-8   8.048086482472887E-6
0                         0.17804320466404386      0                        8.457370956919286E-9     1.6165588550497562E-9    9.093071106806882E-6
0                         0.17533716322774565      0                        -5.766299760611212E-10   -5.656103056253881E-9    9.511665870949997E-6
0                         0.17692117060749427      0                        5.208455730380941E-9     2.729527211685023E-9     9.269278621937353E-6
0                         0.1729295846833552       0                        -1.0817822997293668E-8   -3.356618603730235E-8    9.88279833999877E-6
0                         0.1717499748929279       0                        -4.785897553972025E-9    -2.54543679078185E-8     1.0049785257709156E-5
0                         0.16877261474606473      0                        -1.7092538857707903E-8   8.32697130749368E-9      1.047278165971086E-5
0                         0.16867024795933425      0                        -2.16615893372727E-9     1.0561216959361947E-8    1.0478828856021504E-5
0                         0.1679085218516754       0                        1.4571023715320359E-8    1.4318590634496285E-8    1.059198329342625E-5
0                         0.15808807852374365      0                        -1.6772941229429672E-8   4.323688018764614E-8     1.1571068156381727E-5
0                         0.15819692742390326      0                        -1.8551960639494E-8      4.0662984560652464E-8    1.1578798687016697E-5
0                         0.15807082647783102      0                        -2.2992125711393272E-8   -1.064240657730147E-9    1.1540623867496229E-5
0                         0.1579447346679759       0                        -1.508467468381942E-9    -7.989161285957124E-8    1.1607434066827223E-5
0                         0.15795054173599285      0                        -1.74498126300209E-8     -3.8441866727758365E-8   1.1564124494824624E-5
0                         0.14485976845983647      0                        -1.2296117835591908E-8   6.073777723179201E-9     1.225590355330438E-5
0                         0.14487084768729838      0                        -4.93858454306184E-9     3.1674904867068976E-8    1.2284680506691575E-5
0                         0.15713211425550597      0                        -1.3129756736442419E-9   -8.95368485187718E-8     1.166636769389838E-5
0                         0.1448093801052254       0                        -3.2996289216041165E-9   -3.538451865503363E-9    1.2265404905032633E-5
0                         0.13165304898468594      0                        -3.178311865340105E-9    -5.834223998412511E-9    1.2604765675937797E-5
0                         0.1316922016395651       0                        -4.622073300816715E-9    -1.5923364689334603E-9   1.2598350546894762E-5
0                         0.1447912646333905       0                        3.983268414529034E-9     -6.312681786637668E-9    1.2290229918474842E-5
0                         0.13172987219989382      0                        2.864571558444175E-10    3.895808311083575E-9     1.2613357618141927E-5
0                         0.1317161943820083       0                        -9.474621876347486E-10   -3.953514924724807E-11   1.2599655880991078E-5
0                         0.13158362768807597      0                        5.278302284481196E-10    -4.1987643825173056E-9   1.2612550657169357E-5
0                         0.13147133361854446      0                        6.996849132428028E-10    2.814106459514635E-9     1.2613414897654083E-5
0                         0.12387089849316957      0                        -1.3507818039593758E-9   1.5806007549768344E-9    1.269784641572348E-5
0                         0.11963441040776934      0                        1.6054643708231624E-9    -9.460305285645376E-10   1.2726968317808664E-5
