% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 28 2025, 16:23
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
-0.16163672305102317      -0.28472785581284427
-0.1614627585593554       -0.28066306274510344
-0.15883791502320438      -0.2742743565636261
-0.15759723110343093      -0.2731642222700237
-0.15621258564953416      -0.26862943412382145
-0.15567484030034284      -0.26439008690630406
-0.15558275256170997      -0.26422851340556797
-0.15558275256170997      -0.2826692246063756
-0.1554822116838049       -0.28217060747287204
-0.15387279157932135      -0.2741889341891045
-0.1504258409733483       -0.25709430893525254
-0.15005315805245276      -0.2552460448898763
-0.14612965286265778      -0.235788019937409
-0.14612965286265775      -0.23496877101493668
-0.14509757927857808      -0.2314720436605884
-0.14480171006647083      -0.23046962098138826
-0.14367512688738263      -0.22665268943695274
-0.14316912000331714      -0.2249383076910312
-0.14110341382998437      -0.21793957097910172
-0.13975002969585515      -0.21335422416301475
-0.13919206070187382      -0.21146379166457124
-0.1369689541241124       -0.20393177291902034
-0.1365344718375396       -0.2024597208096833
-0.13469834932523944      -0.18709781930881975
-0.13225072674654276      -0.16644415573825114
-0.13060932865571503      -0.15185612538213697
-0.13000765163149855      -0.14485196270257827
-0.1285661551016099       -0.12807140471051165
-0.12781772585888015      -0.11935888959154664
-0.12753738056843508      -0.11609537122256307
-0.12711505406827261      -0.11117904004824311
-0.12694541848261964      -0.10920430079390102
-0.12603311624916408      -0.09858412917546447
-0.12211848579065876      -0.053013652893039644
-0.12206979815236346      -0.05244687682319081
-0.12197938139000253      -0.051394329215344564
-0.12143487185996091      -0.046889054653706866
-0.11896163501244468      -0.020864598129172282
-0.11780595469187724      -0.007847335478495709
-0.11554904408094484      0.023956126191027542
-0.11523350905486222      0.03457693630025484
-0.11118108530586536      0.09536510327207252
-0.11076456401451501      0.09979694591321217
-0.10778263057219421      0.1477324466803625
-0.1075582897583009       0.15201519847660533
-0.10630519453418504      0.1759372647685545
-0.10564377286489263      0.18856405698293588
-0.10438907176590016      0.213742764545368
-0.10208171932802315      0.25868537407507103
-0.10187869664633194      0.2625319760510494
-0.10066652024686698      0.28549867166641074
-0.10037861198928778      0.29095357189371235
-0.09735734410540138      0.34819651103385557
-0.09652713202957071      0.36392625799990574
-0.09583536424309727      0.3770329479135691
-0.09573585163257216      0.3789183796352469
-0.09506659735407588      0.3915985137397308
-0.0910156315828436       0.46835078994079954
-0.0909725447311183       0.4790984562989348
-0.09078973181069333      0.49796314935828745
-0.09045614359167109      0.49867970082979096
-0.08942737737314888      0.5222855679601515
-0.08904077953337777      0.5253683854580065
-0.08768596100586562      0.5424396496544747
-0.08494505996041829      0.6167308375137686
-0.08400837879368842      0.6421192610168469
-0.08345757156880305      0.6570487029557279
-0.08305846808152739      0.6678662668359581
-0.07975326140747446      0.7637995643957473
-0.07925836752964814      0.7837061260867925
-0.0792364610484012       0.7843063491232855
-0.07920318823451147      0.7852180021249892
-0.07781655467100086      0.8232108408018668
-0.07407865240657438      0.9256268802368046
-0.07392653783517399      0.9297947184629233
-0.07355139976569655      0.9400732524103703
-0.07206156551861395      0.9808937212741076
-0.06877400861350494      1.0709705969705263
-0.06861661462194676      1.0900698757803486
-0.06782321092260471      1.1268516234526242
-0.06650474049487493      1.173304365491635
-0.06602254202687716      1.1671933651411166
-0.06524051015801038      1.1771230150600185
