% Model:              SaddleV7Sim3.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 18 2025, 10:31
% Dimension:          1
% Nodes:              192
% Expressions:        1
% Description:        Line graph
% Arc length (m)          -mf.Bz
0                         4.891818814002577
0.0026584528419681466     5.451967689972935
0.003521204539509706      5.633753646823552
0.005120667518080005      5.970230968417679
0.005120667518080005      5.97076823495484
0.005352750401106704      6.0194422300951045
0.006047548566846414      6.166768452095192
0.011551099095828007      7.333750961552758
0.01231706035423525       7.485677747510189
0.013619237069429694      7.770206721490668
0.014804630902131702      8.027364960959563
0.016395416621113514      8.3571331895157
0.01732620039820983       8.511806565995052
0.01766731891628483       8.573492717560335
0.018501039445490235      8.716976484387422
0.021517462246728767      9.236104526343293
0.021517462246728774      9.421120890686186
0.02218872324659661       9.504748898527815
0.022205078908317497      9.506786543209866
0.025774138886675804      9.951432330640028
0.028337073874944482      10.270731600728292
0.029393189375969478      10.399794149907937
0.02939318937596948       10.402306108138632
0.030380420225823154      10.539610404092965
0.030924316784495205      10.61663958071252
0.035130221355277304      11.212299473870843
0.037794091531628625      11.589569237825096
0.03901136678317263       11.531412404835244
0.03901136678317263       11.76196545701562
0.04014861740902475       11.649316221242142
0.04104197879764844       11.645883808600152
0.04227534111112364       11.747792141164583
0.04379439884720723       11.939501137005108
0.04643698898096507       12.097178521480084
0.04716000620088262       12.180254406878198
0.04809219712111283       12.222806269160769
0.04936241890729998       12.280788278362067
0.04975060906314911       12.298508054099706
0.05104669494175876       12.327407531984647
0.05104669494175876       12.35767068550504
0.05186159506342412       12.373293821645824
0.05221341681979367       12.393104586907322
0.05464169303969718       12.529838627118451
0.05650269899596719       12.634630191262623
0.05654371956837814       12.636940022636646
0.05654371956837814       12.587231909881748
0.05657375588333089       12.587901139298737
0.05794840467343546       12.639619008576275
0.05913291091240972       12.68595196224085
0.059458834187803095      12.692897761847178
0.06127886802227213       12.731684774759035
0.06200669715456754       12.747195650116034
0.062373880834129106      12.755020756358814
0.06321804856670304       12.773010941004294
0.0648435471257178        12.80765218360246
0.0665801266262626        12.844660688738161
0.06848769245997069       12.885313109160792
0.07038020099953578       12.916822174899082
0.07038020099953579       12.925644641338785
0.07058856476889179       12.919972236226577
0.07217667760464655       12.943981462221435
0.07217667760464656       12.891620096571335
0.0736909420434979        12.927292218652772
0.07477867418186955       12.957150315755513
0.07477867418186955       12.96138830242543
0.07582771685199437       12.968994171734547
0.07723484960625066       12.979196299955104
0.07739948952109314       12.980389987982312
0.07793157960203657       12.98279378752539
0.07956831079778709       12.993078014420169
0.07959726612888758       12.99328567500523
0.08013816534582731       12.997164872499425
0.08187089321954122       13.009591574952168
0.08316001530041489       13.018836844660875
0.0844083579982381        13.027789654562671
0.08466853007119084       13.029655545327255
0.08649181547970193       13.037183636167333
0.08649181547970193       13.04273170437203
0.08662594047006374       13.037223476910288
0.08815412252279864       13.037677411021932
0.08903407028061855       13.046027261605587
0.08912920723743283       13.054142900236869
0.08917938557764596       13.05415723027054
0.09240815514505428       13.055079308928757
0.09473120229237839       13.055742729514172
0.09596574226564765       13.056095291980553
0.09647146572935485       13.056239717528152
0.09863431641592259       13.056857388878601
0.10042833430413825       13.0573697281994
0.10280227729386252       13.036741410255964
0.10405087917795447       13.01883204507885
0.1045691033652701        13.039849256072305
0.1045691033652701        13.020241910033405
0.10653027368293462       13.030659680155694
0.10700833340675181       13.038069207038543
0.10726055906538537       13.062918843227473
0.10742435322745032       13.082449389191819
0.10742435322745032       13.078911400794908
0.10941761394444596       13.064526938044459
0.10995310810533927       13.058446823108836
0.11046425951990387       13.054793645869342
0.11440365103146949       13.026638983674438
0.11518345042890195       13.021065790822181
0.11600905386195513       13.015165238491619
0.12079667589089077       12.980948309164887
0.12137956968070614       12.976782392246097
0.12259101684855256       12.968124231289629
0.12259101684855256       12.976298535181595
0.1231165977126759        12.973617475147439
0.12331784584417771       12.972590880841695
0.12664544682247          12.955616332106185
0.12894328835388988       12.943894727467885
0.12894328835388988       12.898577179659176
0.130211710459522         12.897489029173627
0.1308575177447548        12.831911382740127
0.13153817670711873       12.867739272327944
0.13153817670711873       12.757113920536275
0.1326457622961593        12.864914364674732
0.13465566724377728       12.831908111661601
0.1348621474619612        12.826880370182167
0.13662565808352545       12.759501955130363
0.1366256580835255        12.783939329246394
0.13756571537570286       12.739974975895281
0.13769959910203444       12.737193927584984
0.13825961150733607       12.725561284871917
0.1391310173573623        12.707460341365188
0.14004331814653279       12.688509923433728
0.14175189663538607       12.65301913265855
0.14342980275522185       12.618165471894361
0.14359008357105899       12.623436606741882
0.1462955511066306        12.491467794152149
0.14631213512983254       12.490606129829912
0.14634919336945237       12.488680676486268
0.14778272490295827       12.41419796730414
0.14984969971338807       12.306803131478304
0.15011696244557574       12.292916829090473
0.150932614359852         12.250537597866792
0.15160837403128538       12.215426817316827
0.15182918294429504       12.203954139061683
0.15182918294429504       12.170281554635261
0.15196295979310512       12.16295196356635
0.1522367010032072        12.147953769584326
0.15274763520257661       12.13628804416113
0.15445651441342645       12.062587582330583
0.1548324791467434        12.043514066589596
0.1552680652827334        12.018025512919305
0.1583966888234939        11.764448757623125
0.15862717836897208       11.690672664985538
0.15862717836897208       11.746365689056466
0.1593575161572938        11.647576641227275
0.15999876713986413       11.622624889494006
0.1605677073753679        11.57074449294334
0.16144710971091447       11.490553746976268
0.16240784035139214       11.402946853499639
0.16366995427920675       11.287857487374653
0.16442041406370111       11.219424726277326
0.1644662760534209        11.215242673286896
0.16447376721636295       11.214559570774881
