% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 18 2025, 12:45
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
-0.25                     -0.7225281106710717
-0.24404086408056064      -0.7244610825693472
-0.24341205590035583      -0.7246650498152989
-0.24327455946284754      -0.7247096496957864
-0.24112098614713953      -0.7254082067947341
-0.2409891267341977       -0.7254509781869606
-0.2393533247381207       -0.7255123952148572
-0.23634757058963263      -0.7252597284872947
-0.23077951779608963      -0.725660830124387
-0.22941325307181035      -0.7257592507101736
-0.22716497104550878      -0.7249468424972096
-0.22526564090376375      -0.7235886490921905
-0.22092058702211867      -0.7227105760037152
-0.21981096477788747      -0.7224863372583343
-0.21939079505214876      -0.7224014269813138
-0.21840949960708927      -0.7222031212420468
-0.21446138328802997      -0.721405263543528
-0.21439204151573216      -0.7213912505655946
-0.2116166190587887       -0.7208303774820866
-0.2087080528656761       -0.7207542245789437
-0.20846908663753091      -0.7205264762914054
-0.2077099822141809       -0.7174650766724024
-0.2030769910923936       -0.7043679460215708
-0.20150665343882884      -0.7001702784360706
-0.2000051592139306       -0.6961566361322232
-0.19982447824581193      -0.6956736580660302
-0.1944874065495473       -0.6814071384993298
-0.19442934274459028      -0.6812519282161108
-0.1944062035626132       -0.6811900748981831
-0.1908279920710757       -0.6716251623088435
-0.1885978753929494       -0.6656638402515073
-0.1873520320503517       -0.6623335779961486
-0.18616080634179666      -0.6591493140689166
-0.18616080634179666      -0.6435033996684406
-0.17923174168407652      -0.6145962499908747
-0.17845011574148384      -0.6113354089927695
-0.1776588918314212       -0.5999085483806292
-0.17718095153447933      -0.585520775157049
-0.1765602096255563       -0.5773880467574114
-0.17380258049428418      -0.5478610647642469
-0.17380258049428415      -0.5412586209378061
-0.17245904798220354      -0.5297996230544466
-0.171951587199453        -0.5229777015413887
-0.17039238264843587      -0.5020169269723875
-0.16899040159178813      -0.4831697469412553
-0.16884765255587506      -0.48125073614837205
-0.1669761447304308       -0.45609159098832375
-0.1667591025532721       -0.453173839020234
-0.16569403497479246      -0.43885587066984505
-0.16523625712954654      -0.4327018492423015
-0.16371529167712717      -0.42196423431451247
-0.16371529167712717      -0.4122551323862247
-0.1628363597607882       -0.4117034665957905
-0.16222432943827236      -0.404558543468744
-0.1617631307688978       -0.3991744490574921
-0.16163672305102317      -0.39769874860009274
-0.1614627585593554       -0.3700830198432158
-0.15883791502320438      -0.30075651680683835
-0.15759723110343093      -0.280081161505192
-0.15621258564953416      -0.25341774979048876
-0.15567484030034284      -0.23810458891842973
-0.15558275256170997      -0.2360968535437977
-0.15558275256170997      -0.3005191354386906
-0.1554822116838049       -0.29729395279455595
-0.15387279157932135      -0.24566645663322287
-0.1504258409733483       -0.1350940655698692
-0.15005315805245276      -0.1231390228719903
-0.14612965286265778      0.0027204395274116073
-0.14612965286265775      0.0015458072737804494
-0.14509757927857808      0.02900147929107819
-0.14480171006647083      0.036872321228066655
-0.14367512688738263      0.06684217874828907
-0.14316912000331714      0.0803031947666254
-0.14110341382998437      0.1352560121374036
-0.13975002969585515      0.17125932766960095
-0.13919206070187382      0.18610266241906134
-0.1369689541241124       0.24524271405882064
-0.1365344718375396       0.2568010015118424
-0.13469834932523944      0.34614015933622777
-0.13225072674654276      0.4551964965164096
-0.13060932865571503      0.5162520012543185
-0.13000765163149855      0.543217282066349
-0.1285661551016099       0.6078206442582724
-0.12781772585888015      0.6413629001295573
-0.12753738056843508      0.653927098490007
-0.12711505406827261      0.6728544502300421
-0.12694541848261964      0.6804569861733128
-0.12603311624916408      0.7213435165217292
-0.12211848579065876      0.8967849998098547
-0.12206979815236346      0.8989670273526494
-0.12197938139000253      0.9030192236125157
-0.12143487185996091      0.9094525207963706
-0.11896163501244468      1.00401875860378
-0.11780595469187724      1.0566040246884953
-0.11554904408094484      1.1881181879716822
-0.11523350905486222      1.231232571079879
-0.11118108530586536      1.4216197848799246
-0.11076456401451501      1.4367165514862605
-0.10778263057219421      1.6074194233583257
-0.1075582897583009       1.6213431662623847
-0.10630519453418504      1.699116690535992
-0.10564377286489263      1.7401679157436354
-0.10438907176590016      1.8284415154872766
-0.10208171932802315      1.9827118252983524
-0.10187869664633194      1.9953708595573563
-0.10066652024686698      2.0709534616634704
-0.10037861198928778      2.0889053499243526
-0.09735734410540138      2.277289885726705
-0.09652713202957071      2.3290559397588564
-0.09583536424309727      2.3721896036199306
-0.09573585163257216      2.378394494301831
-0.09506659735407588      2.420124377726164
-0.0910156315828436       2.6727134680331956
-0.0909725447311183       2.719712567397547
-0.09078973181069333      2.8224555923760914
-0.09045614359167109      2.768691659625861
-0.08942737737314888      2.7123337239922627
-0.08904077953337777      2.7266795660038
-0.08768596100586562      2.8453527127146945
-0.08494505996041829      3.1185510690048117
-0.08400837879368842      3.21191443779318
-0.08345757156880305      3.266815955934945
-0.08305846808152739      3.306596456910883
-0.07975326140747446      3.722696407127583
-0.07925836752964814      3.8581976306372097
-0.0792364610484012       3.8603598255969485
-0.07920318823451147      3.863643890695202
-0.07781655467100086      4.000506222359923
-0.07407865240657438      4.369441486085315
-0.07392653783517399      4.384455369687939
-0.07355139976569655      4.421481929722225
-0.07206156551861395      4.568530287857639
-0.06877400861350494      4.893015945318937
-0.06861661462194676      5.012753096046818
-0.06782321092260471      5.0813516278541195
-0.06650474049487493      5.122027586508025
-0.06602254202687716      5.138110892769534
-0.06524051015801038      5.218843065454485
-0.061923821434912804     5.784484485550508
