% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Dec 18 2025, 13:14
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
-0.25                     -0.981735245561679
-0.24404086408056064      -0.9857130499054956
-0.24341205590035583      -0.9861327879253126
-0.24327455946284754      -0.9862245686689932
-0.24112098614713953      -0.9876621081723373
-0.2409891267341977       -0.9877501261253867
-0.2393533247381207       -0.9873497420366402
-0.23634757058963263      -0.9870401285309316
-0.23077951779608963      -0.9892310210101632
-0.22941325307181035      -0.9897686127356857
-0.22716497104550878      -0.9895143955277796
-0.22526564090376375      -0.9887630334529677
-0.22092058702211867      -0.9896495061789308
-0.21981096477788747      -0.9898758899896789
-0.21939079505214876      -0.9899616125174764
-0.21840949960708927      -0.9901618152472613
-0.21446138328802997      -0.9909673052437373
-0.21439204151573216      -0.9909814522696633
-0.2116166190587887       -0.9915476906589127
-0.2087080528656761       -0.9931127879448932
-0.20846908663753091      -0.9934807099221804
-0.2077099822141809       -0.9908361150756393
-0.2030769910923936       -0.9803720540894546
-0.20150665343882884      -0.9770715855619312
-0.2000051592139306       -0.9739158092088105
-0.19982447824581193      -0.9735360616765238
-0.1944874065495473       -0.9623188326158372
-0.19442934274459028      -0.9621967965935755
-0.1944062035626132       -0.9621481636504028
-0.1908279920710757       -0.9546276317534419
-0.1885978753929494       -0.9499404678863894
-0.1873520320503517       -0.9473220076252256
-0.18616080634179666      -0.9448183403716645
-0.18616080634179666      -0.9282765298962647
-0.17923174168407652      -0.9031332423712983
-0.17845011574148384      -0.9002969799343917
-0.1776588918314212       -0.8886461467212415
-0.17718095153447933      -0.87346576239607
-0.1765602096255563       -0.8651527023998298
-0.17380258049428418      -0.8356223947925745
-0.17380258049428415      -0.8282221583426312
-0.17245904798220354      -0.8169499810759591
-0.171951587199453        -0.8098972915464715
-0.17039238264843587      -0.7882274680150954
-0.16899040159178813      -0.7687427364755234
-0.16884765255587506      -0.7667588104951324
-0.1669761447304308       -0.7407485963199137
-0.1667591025532721       -0.7377321443253236
-0.16569403497479246      -0.7229298360203837
-0.16523625712954654      -0.7165676399143146
-0.16371529167712717      -0.7070066221113274
-0.16371529167712717      -0.6954292633429543
-0.1628363597607882       -0.6966252485886258
-0.16222432943827236      -0.6893963435197078
-0.1617631307688978       -0.6839489640743377
-0.16163672305102317      -0.682455918127305
-0.1614627585593554       -0.6507514621605783
-0.15883791502320438      -0.5750116782096797
-0.15759723110343093      -0.5532262937080197
-0.15621258564953416      -0.5220375625968422
-0.15567484030034284      -0.5024975168944879
-0.15558275256170997      -0.5003287407584465
-0.15558275256170997      -0.5832470150163865
-0.1554822116838049       -0.5795233022062234
-0.15387279157932135      -0.5199155249033742
-0.1504258409733483       -0.3922514901852948
-0.15005315805245276      -0.3784485058113395
-0.14612965286265778      -0.23313441227644138
-0.14612965286265775      -0.23350591599656764
-0.14509757927857808      -0.2025544187223906
-0.14480171006647083      -0.19368141271457215
-0.14367512688738263      -0.1598956083547313
-0.14316912000331714      -0.14472065287243308
-0.14110341382998437      -0.08277090434732597
-0.13975002969585515      -0.04218342494220704
-0.13919206070187382      -0.025450145394425562
-0.1369689541241124       0.0412199818554003
-0.1365344718375396       0.05424994165281586
-0.13469834932523944      0.15895575151583385
-0.13225072674654276      0.28868847551773075
-0.13060932865571503      0.36435472992644047
-0.13000765163149855      0.3983278228685255
-0.1285661551016099       0.4797204863982236
-0.12781772585888015      0.5219797969593106
-0.12753738056843508      0.5378092141130889
-0.12711505406827261      0.561655458633745
-0.12694541848261964      0.5712337627499435
-0.12603311624916408      0.622745998253408
-0.12211848579065876      0.8437817018751632
-0.12206979815236346      0.8465308008009373
-0.12197938139000253      0.8516360930882916
-0.12143487185996091      0.8625768274835486
-0.11896163501244468      0.9831855527726487
-0.11780595469187724      1.048797039630906
-0.11554904408094484      1.212146905037138
-0.11523350905486222      1.2658984614139543
-0.11118108530586536      1.5170881337254931
-0.11076456401451501      1.5366062705392736
-0.10778263057219421      1.755247271926538
-0.1075582897583009       1.7734543263436238
-0.10630519453418504      1.8751530433060921
-0.10564377286489263      1.92883271093524
-0.10438907176590016      2.04229020395766
-0.10208171932802315      2.2415106837477645
-0.10187869664633194      2.2580168043766986
-0.10066652024686698      2.3565689942425956
-0.10037861198928778      2.3799764696541197
-0.09735734410540138      2.625611153071423
-0.09652713202957071      2.6931089348813444
-0.09583536424309727      2.749350939152118
-0.09573585163257216      2.75744149898388
-0.09506659735407588      2.8118531132935183
-0.0910156315828436       3.141204145043501
-0.0909725447311183       3.1989608089039394
-0.09078973181069333      3.3206076357179435
-0.09045614359167109      3.2675035671594586
-0.08942737737314888      3.2347010941919145
-0.08904077953337777      3.2521798108036903
-0.08768596100586562      3.3879569892472094
-0.08494505996041829      3.7354698390105154
-0.08400837879368842      3.8542295958104114
-0.08345757156880305      3.924065239351074
-0.08305846808152739      3.974666697745203
-0.07975326140747446      4.486751812285812
-0.07925836752964814      4.642186180303557
-0.0792364610484012       4.644948723122789
-0.07920318823451147      4.649144630811043
-0.07781655467100086      4.824007702182474
-0.07407865240657438      5.295380303887777
-0.07392653783517399      5.314562892464447
-0.07355139976569655      5.361870123980677
-0.07206156551861395      5.5497474400465325
-0.06877400861350494      5.96432870568406
-0.06861661462194676      6.103167825235513
-0.06782321092260471      6.208551263903978
-0.06650474049487493      6.295688314673878
-0.06602254202687716      6.305675916321514
-0.06524051015801038      6.396358132427504
-0.061923821434912804     7.113520395307545
-0.060681821373015594     7.3820760691289555
-0.06001951481645687      7.525285549570741
-0.0584384354693299       7.86715979133543
-0.05561237030267728      8.478235312486596
-0.05415984848859553      8.792311765852602
-0.0540164876060366       8.823310458683933
-0.05163636078064941      9.337961450243377
-0.05059779866141337      9.56252806524885
-0.04930091917044177      9.842950229665691
-0.04801346039561631      10.121335367797156
-0.04509715858421316      10.75192261336591
-0.04483428609196893      10.861077165286588
-0.04368988970879426      11.34159485579778
-0.04317094268052739      11.537441845154987
-0.03957113036689148      12.618231830965744
-0.0391894291025318       12.721194916899115
-0.03861401491830706      12.911007716738958
-0.038475478906049985     12.956706813295972
-0.03835039811873337      12.997967413221442
-0.0375841518516636       13.250730298299235
-0.037218682174795216     13.371288366773701
-0.03705889157866809      13.423998747001516
-0.03333455441658861      14.652551820009757
-0.03247262651640552      14.936877358863576
-0.03161682413154443      15.219182264153584
-0.030596128083337004     15.555880906639658
-0.02805509391487016      16.39409592328061
-0.027361101181147436     16.623024419427935
-0.02488325014435548      17.44039711508573
-0.02413336458800592      17.687763066277796
-0.022775633413151704     18.326248906326786
-0.02225523225353916      18.6940289575623
-0.02148407497913316      18.877362714096353
-0.019553642414275173     19.53589827374458
-0.019018776162750738     19.747825356715143
-0.016061398013871315     20.919610868600778
-0.016061398013871315     20.79258008562163
-0.015309494828580258     21.09750248969062
-0.014783492390071429     21.310814430953613
-0.013719222776826485     21.742412082614855
-0.013501143522830106     21.830850663148873
-0.012500563066743643     22.2366201878733
-0.01156128795875213      22.6175283015955
-0.010559440837470475     23.023811502287813
-0.00903593665466741      23.641644445567138
-0.008016752368479893     24.054958458345713
-0.007800036581546284     24.14284410645068
-0.007627930933106156     24.212638820853847
-0.0074853706722007324    24.27045187222848
-0.006335389284869524     24.736808573622014
-0.005722920097157932     24.985185732794328
-0.005038353504128622     25.262800850505286
-0.003099510096348922     26.12767020212953
-0.0013812551481490552    26.678768418995677
-9.932985812513583E-4     26.785451040018778
4.731659577972081E-5      27.07160563575053
2.787152361247202E-4      27.13523702018768
0.0010571880744110799     27.34930614511005
0.002647663676368636      27.786664654715743
0.002961779871607836      27.87304220796066
0.004688582579532899      28.347888761904414
0.005213886245171082      28.492339910989106
0.006118695991206968      28.74114991569204
0.006450208588698814      28.832311235850675
0.006843307643942625      28.940407969127968
0.009098449922941078      29.560540503621166
0.009370584415931086      29.63537367686816
0.009741677291413583      29.737419018995112
