2025-07-22, 15:02:22

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-6.51765912771225,-46.51903510093689,19.6888267993927
1.0,-6.178797781467438,-46.58995866775513,19.846467673778534
2.0,-6.407332420349121,-46.58995866775513,19.988343119621277
3.0,-6.557061523199081,-46.6293603181839,20.14598399400711
4.0,-6.722551584243774,-46.68452441692352,20.319388806819916
5.0,-6.888042390346527,-46.7318058013916,20.516440272331238
6.0,-7.05353245139122,-46.76332771778107,20.67408114671707
7.0,-7.022010535001755,-46.88153564929962,20.886895060539246
8.0,-7.124456763267517,-46.92882001399994,21.09971046447754
9.0,-7.431796193122864,-46.95245921611786,21.29676192998886
10.0,-7.242663949728012,-47.06278741359711,21.509575843811035
11.0,-7.597286254167557,-47.07854986190796,21.72239124774933
12.0,-8.054354786872864,-47.03914523124695,21.966734528541565
13.0,-8.085876703262329,-47.11795151233673,22.17954844236374
14.0,-8.054354786872864,-47.18099534511566,22.400246560573578
15.0,-7.967669516801834,-47.24403917789459,22.65247106552124
16.0,-7.8337013721466064,-47.33072519302368,22.810111939907074
17.0,-8.007071912288666,-47.36224710941315,23.030808568000793
18.0,-7.999191433191299,-47.40164875984192,23.243623971939087
19.0,-7.9755499958992,-47.44105041027069,23.44067394733429
20.0,-8.030713349580765,-47.448933124542236,23.69289994239807
