2025-11-27, 16:41:15

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-7.329349964857101,-51.89352631568909,16.551777720451355
5.0,-8.68479385972023,-49.789437651634216,17.190222442150116
10.0,-9.669855237007141,-45.352721214294434,18.088774383068085
15.0,-10.544589906930923,-41.31003022193909,19.483894109725952
20.0,-12.735366821289062,-41.24698340892792,20.94995230436325
25.0,-13.476133346557617,-42.5709068775177,22.282014787197113
30.0,-13.34216445684433,-43.54020655155182,23.574668169021606
35.0,-13.531295955181122,-44.083961844444275,24.57568645477295
40.0,-14.80005532503128,-43.83966624736786,25.466355681419373
45.0,-14.216899871826172,-44.35189962387085,26.00233554840088
50.0,-10.308175534009933,-45.31331956386566,26.924532651901245
55.0,-9.433440864086151,-45.02173960208893,28.13836634159088
60.0,-9.031535685062408,-45.0611412525177,30.06158173084259
65.0,-9.504365175962448,-46.56631648540497,31.882330775260925
70.0,-9.945672750473022,-48.81225526332855,32.5444221496582
75.0,-9.30735319852829,-50.36471486091614,32.89123177528381
80.0,-8.866045624017715,-52.07477807998657,33.710962533950806
85.0,-6.541300565004349,-55.0772488117218,34.719863533973694
90.0,-7.116576284170151,-59.18298363685608,35.00361740589142
