2025-11-28, 16:08:07

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-2.5931742042303085,-50.073134899139404,16.811884939670563
5.0,-3.5073112696409225,-47.992685437202454,17.253278195858
10.0,-5.445912107825279,-43.674176931381226,18.08089166879654
15.0,-6.099992990493774,-40.33284783363342,19.365662336349487
20.0,-7.360871881246567,-40.91600477695465,20.80807536840439
25.0,-7.613047212362289,-42.64183044433594,22.061318159103394
30.0,-7.037771493196487,-43.847545981407166,23.38549941778183
35.0,-6.958966702222824,-44.659239053726196,24.46533888578415
40.0,-6.691029667854309,-44.99809741973877,25.316599011421204
45.0,-5.729609727859497,-45.58125436306,25.90775191783905
50.0,-5.501075461506844,-45.69946229457855,26.703834533691406
55.0,-5.264660716056824,-45.36848068237305,27.933433651924133
60.0,-4.279599338769913,-45.4866886138916,29.738420248031616
65.0,-4.145631194114685,-46.960341930389404,31.65375292301178
70.0,-4.665743559598923,-49.237802624702454,32.46560096740723
75.0,-4.713026434183121,-50.71145296096802,32.84393846988678
80.0,-4.374165460467339,-52.366358041763306,33.63214433193207
85.0,-2.9793182387948036,-55.14029264450073,34.61739718914032
90.0,-3.5309527069330215,-59.45879817008972,34.79868471622467
