2025-06-12, 13:57:34

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-1.3077725172042847,-0.41869544982910156,-2.3790464401245117
1.0,8.612850189208984,-0.38638541102409363,2.0412051677703857
2.0,9.511244773864746,-0.3577004373073578,2.125227689743042
3.0,9.654776573181152,-0.33074915409088135,2.1455633640289307
4.0,9.679683685302734,-0.31104791164398193,2.1567559242248535
5.0,9.688826560974121,-0.2971782684326172,2.168894052505493
6.0,9.677634239196777,-0.28827330470085144,2.174332857131958
7.0,9.683624267578125,-0.28780046105384827,2.1727564334869385
8.0,9.688590049743652,-0.2808656394481659,2.1787467002868652
9.0,9.694344520568848,-0.27991998195648193,2.1804020404815674
10.0,9.690088272094727,-0.2848846912384033,2.1763033866882324
11.0,9.666441917419434,-0.28267815709114075,2.180480718612671
12.0,9.693949699401855,-0.282284140586853,2.1813478469848633
13.0,9.686304092407227,-0.28417545557022095,2.176933765411377
14.0,9.684019088745117,-0.28441184759140015,2.177327871322632
15.0,9.6951322555542,-0.28740644454956055,2.1786677837371826
16.0,9.657299041748047,-0.2988331615924835,2.168184757232666
17.0,9.670855522155762,-0.31183597445487976,2.1606180667877197
18.0,9.685989379882812,-0.3317736089229584,2.1515536308288574
19.0,9.697575569152832,-0.36400482058525085,2.1324002742767334
20.0,9.684333801269531,-0.39450234174728394,2.1125376224517822
