2025-11-28, 16:12:26

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-3.948618844151497,-50.50656199455261,16.796119511127472
5.0,-4.878516867756844,-50.9163498878479,17.284806072711945
10.0,-5.902980640530586,-53.71392369270325,18.175475299358368
15.0,-7.195381075143814,-56.30660653114319,19.373545050621033
20.0,-8.739957213401794,-54.98268008232117,20.729254186153412
25.0,-8.889687061309814,-53.21745276451111,22.037672996520996
30.0,-8.605989068746567,-51.917171478271484,23.322443664073944
35.0,-8.605989068746567,-50.908470153808594,24.402281641960144
40.0,-8.322291821241379,-50.40411353111267,25.332361459732056
45.0,-6.714671105146408,-50.24650692939758,25.860458612442017
50.0,-5.146453529596329,-49.923405051231384,26.71171724796295
55.0,-4.571177437901497,-49.41905438899994,27.94131636619568
60.0,-3.633398935198784,-49.450576305389404,29.80935573577881
65.0,-3.593996539711952,-50.86906552314758,31.645870208740234
70.0,-3.7988893687725067,-52.839189767837524,32.434073090553284
75.0,-2.8768718242645264,-54.09218668937683,32.78876543045044
80.0,-2.0651813596487045,-55.17181158065796,33.545440435409546
85.0,-1.6396347433328629,-56.95280432701111,34.609514474868774
90.0,-2.080942317843437,-59.90799069404602,34.72774624824524
