2025-12-18, 13:02:29

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-2.21491064876318,-49.97856914997101,11.42057329416275
5.0,-5.146453529596329,-45.58125436306,11.58609613776207
10.0,-9.260070323944092,-36.04586124420166,12.831456959247589
15.0,-11.245954036712646,-18.054698407649994,15.164539217948914
20.0,-12.845693528652191,-15.012829005718231,18.364645540714264
25.0,-13.775591552257538,-28.590914607048035,21.304643154144287
30.0,-13.2791206240654,-38.780391216278076,23.56678694486618
35.0,-12.18373253941536,-42.12172031402588,25.553059577941895
40.0,-11.348400264978409,-43.224987387657166,26.979705691337585
45.0,-10.820407420396805,-44.05243992805481,27.862495183944702
50.0,-9.362516552209854,-45.1872318983078,28.240832686424255
55.0,-8.022832870483398,-45.738863945007324,29.068446159362793
60.0,-7.037771493196487,-46.21169567108154,29.96699810028076
65.0,-7.014130055904388,-46.84213399887085,30.786728858947754
70.0,-5.650804936885834,-47.858718037605286,32.05573558807373
75.0,-5.233138799667358,-49.387532472610474,33.11980962753296
80.0,-5.051887407898903,-51.617711782455444,34.23905968666077
85.0,-4.129870235919952,-54.848712682724,34.972089529037476
90.0,-4.917919263243675,-59.39575433731079,34.85385775566101
