2025-06-12, 14:05:31

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,9.131251335144043,-0.5661394596099854,1.9824841022491455
1.0,9.613789558410645,-0.5914357900619507,1.9988787174224854
2.0,9.677555084228516,-0.6244550943374634,1.9848487377166748
3.0,9.692373275756836,-0.6478601098060608,1.9708186388015747
4.0,9.69994068145752,-0.6696891188621521,1.9579709768295288
5.0,9.703171730041504,-0.6777271628379822,1.9529263973236084
6.0,9.697970390319824,-0.6848984360694885,1.948906660079956
7.0,9.663525581359863,-0.6869473457336426,1.9497736692428589
8.0,9.69647216796875,-0.6851348280906677,1.9511923789978027
9.0,9.69229507446289,-0.6909664273262024,1.9460691213607788
10.0,9.695684432983398,-0.69025719165802,1.9484336376190186
11.0,9.697339057922363,-0.689941942691803,1.946778416633606
12.0,9.697575569152832,-0.6880506277084351,1.9490642547607422
13.0,9.678186416625977,-0.6858441233634949,1.9560792446136475
14.0,9.698837280273438,-0.6854500770568848,1.949379563331604
15.0,9.691428184509277,-0.6785152554512024,1.9513500928878784
16.0,9.694265365600586,-0.6726836562156677,1.957576870918274
17.0,9.696393966674805,-0.6579471826553345,1.9668776988983154
18.0,9.68646240234375,-0.637851893901825,1.977281928062439
19.0,9.706009864807129,-0.6086152791976929,1.9962776899337769
20.0,9.684964179992676,-0.5685035586357117,2.0188989639282227
