2025-11-28, 15:40:59

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-4.854875430464745,-49.99433159828186,16.7803555727005
5.0,-5.950263515114784,-47.86659777164459,17.29268878698349
10.0,-6.982608139514923,-43.59537065029144,18.112419545650482
15.0,-7.8573428094387054,-40.04127085208893,19.349898397922516
20.0,-8.936969935894012,-40.55350124835968,20.83960324525833
25.0,-9.267950803041458,-42.22416579723358,22.116492688655853
30.0,-9.189145267009735,-43.50868463516235,23.361854255199432
35.0,-9.2206671833992,-44.1391259431839,24.449574947357178
40.0,-9.212786704301834,-44.51738893985748,25.356009602546692
45.0,-8.605989068746567,-45.092666149139404,25.915631651878357
50.0,-7.14021772146225,-45.478808879852295,26.688072085380554
55.0,-5.871458724141121,-45.242393016815186,27.933433651924133
60.0,-5.193736404180527,-45.2896773815155,29.793593287467957
65.0,-5.099170655012131,-46.82637155056,31.574931740760803
70.0,-5.477434024214745,-49.017149209976196,32.355254888534546
75.0,-4.925799742341042,-50.609010457992554,32.67053663730621
80.0,-4.090467467904091,-52.31907367706299,33.33262503147125
85.0,-3.9092164486646652,-54.77778911590576,34.278470277786255
