2025-07-17, 10:28:05

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-12.167971581220627,-44.95081603527069,19.680944085121155
1.0,-14.484836161136627,-44.87200975418091,19.917404651641846
2.0,-16.533763706684113,-44.99809741973877,20.03563642501831
3.0,-18.74818205833435,-44.81684863567352,20.279978215694427
4.0,-19.977538287639618,-44.74592208862305,20.516440272331238
5.0,-21.041405200958252,-45.08478343486786,20.792311429977417
6.0,-21.443310379981995,-44.78532671928406,20.942069590091705
7.0,-22.09739089012146,-44.430702924728394,21.147002279758453
8.0,-22.318044304847717,-44.580432772636414,21.37558162212372
9.0,-22.578100860118866,-44.75380480289459,21.659334003925323
10.0,-22.515057027339935,-45.0611412525177,21.911559998989105
11.0,-22.790874540805817,-45.14782726764679,22.211076319217682
12.0,-22.89332002401352,-44.982337951660156,22.43177443742752
13.0,-22.964245080947876,-45.2896773815155,22.69188165664673
14.0,-23.27946424484253,-44.69864070415497,22.88893163204193
15.0,-23.25582355260849,-45.03750205039978,23.172685503959656
16.0,-21.82157337665558,-45.36060094833374,23.393382132053375
17.0,-20.671021938323975,-45.68370282649994,23.63772541284561
18.0,-19.189488887786865,-45.801907777786255,23.819011449813843
19.0,-17.920729517936707,-45.58125436306,24.000298976898193
20.0,-15.91908484697342,-45.76250612735748,24.291934072971344
