2025-09-23, 14:14:21

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-8.542945235967636,-44.257333874702454,10.955533385276794
1.0,-8.708435297012329,-45.58125436306,11.207758635282516
2.0,-8.960611373186111,-48.36306869983673,11.47574782371521
3.0,-9.212786704301834,-50.798141956329346,11.71220913529396
4.0,-9.449201822280884,-53.028321266174316,11.948669701814651
5.0,-9.78018268942833,-55.51067590713501,12.082664668560028
6.0,-9.788063168525696,-57.69357085227966,12.216658890247345
7.0,-10.07964089512825,-59.647929668426514,12.374299764633179
8.0,-10.245131701231003,-61.27919554710388,12.539821863174438
9.0,-10.221490263938904,-61.86234951019287,12.721109390258789
10.0,-10.52882894873619,-62.99713850021362,12.933923304080963
11.0,-10.599753260612488,-63.399046659469604,13.08368295431137
12.0,-10.859809815883636,-63.934922218322754,13.272851705551147
13.0,-11.041060835123062,-64.58112001419067,13.509312272071838
14.0,-11.340519785881042,-64.54960107803345,13.666953146457672
15.0,-11.47448793053627,-63.87187838554382,14.005880057811737
16.0,-11.789707839488983,-63.71426582336426,14.281751215457916
17.0,-12.33346164226532,-62.090885639190674,14.510330557823181
18.0,-12.317700684070587,-60.46750545501709,14.762555062770844
19.0,-12.435907870531082,-58.06395411491394,15.022662281990051
20.0,-12.24677637219429,-55.88105916976929,15.211831033229828
21.0,-12.018241733312607,-52.74462103843689,15.361590683460236
22.0,-12.104927748441696,-49.50574040412903,15.7005175948143
23.0,-12.199493497610092,-46.448108553886414,16.023680567741394
24.0,-12.223134934902191,-43.83966624736786,16.44931137561798
25.0,-12.238895893096924,-41.13665819168091,16.733063757419586
