2025-08-25, 12:12:27

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-4.523894563317299,-54.895997047424316,25.663408637046814
1.0,-4.41356785595417,-57.00796842575073,25.83681344985962
2.0,-3.9170969277620316,-60.00255346298218,26.089036464691162
3.0,-3.8698136806488037,-62.5715970993042,26.25456154346466
4.0,-3.538833186030388,-65.4873788356781,26.372790336608887
5.0,-3.349701315164566,-68.7971830368042,26.546195149421692
6.0,-1.8445275723934174,-71.24801874160767,26.58560574054718
7.0,-1.1510442942380905,-73.52547645568848,26.703834533691406
8.0,-0.5048439837992191,-75.13309717178345,26.798421144485474
9.0,0.5827778484672308,-76.31517052650452,26.963943243026733
10.0,1.0714638978242874,-77.07958221435547,27.16887593269348
11.0,1.3158068992197514,-77.28447318077087,27.2792249917984
12.0,1.7808469012379646,-77.15838551521301,27.397453784942627
13.0,1.7887288704514503,-76.76435708999634,27.55509614944458
14.0,1.922723464667797,-76.24424695968628,27.72061824798584
15.0,2.151302434504032,-75.4404366016388,27.90190577507019
16.0,2.5217579677700996,-74.53418374061584,28.12260091304779
17.0,2.3719994351267815,-73.28906059265137,28.280243277549744
18.0,2.411409467458725,-71.85481190681458,28.493058681488037
19.0,2.3247072473168373,-70.16838788986206,28.666463494300842
20.0,2.0646000280976295,-67.9460883140564,28.839868307113647
21.0,1.441919431090355,-65.49525856971741,29.02115285396576
22.0,1.2133404612541199,-62.83165216445923,29.20244038105011
23.0,0.8822950534522533,-60.12864112854004,29.462549090385437
24.0,0.47242934815585613,-57.622647285461426,29.65959906578064
25.0,0.764064583927393,-55.37670850753784,29.888176918029785
