2025-07-28, 17:00:00

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-4.713026434183121,-34.879547357559204,19.081909954547882
1.0,-5.611402541399002,-29.662662744522095,19.208022952079773
2.0,-6.297004967927933,-23.980827629566193,19.46813017129898
3.0,-6.706790626049042,-17.76311993598938,19.649416208267212
4.0,-7.163859158754349,-13.948962092399597,19.917404651641846
5.0,-7.67609104514122,-11.222312599420547,20.193275809288025
6.0,-7.991310954093933,-10.962256044149399,20.611023902893066
7.0,-8.133159577846527,-9.417679905891418,20.737136900424957
8.0,-8.338052779436111,-9.512245655059814,21.068182587623596
9.0,-8.53506475687027,-9.551648050546646,21.273115277290344
10.0,-8.542945235967636,-9.000013768672943,21.533222496509552
11.0,-8.708435297012329,-9.24430936574936,21.83273881673813
12.0,-8.952730894088745,-9.914150834083557,22.148020565509796
13.0,-8.944850414991379,-9.023655205965042,22.297778725624084
14.0,-9.031535685062408,-9.60681140422821,22.54212200641632
15.0,-9.031535685062408,-11.32475882768631,23.007161915302277
16.0,-8.889687061309814,-12.112808227539062,23.243623971939087
17.0,-8.53506475687027,-15.856041014194489,23.73230904340744
18.0,-8.219844847917557,-19.80416774749756,24.157939851284027
19.0,-7.731254398822784,-25.29686987400055,24.559922516345978
20.0,-7.108695805072784,-32.11349546909332,24.780619144439697
