X,Y,Z
8.665975570678711,-0.5480930805206299,1.9742079973220825
9.358017921447754,-0.5883623957633972,2.040022850036621
9.582576751708984,-0.59829181432724,2.045067310333252
9.604883193969727,-0.6000255346298218,2.0440428256988525
9.61449909210205,-0.5956124663352966,2.046722650527954
9.617494583129883,-0.6306018233299255,2.027805805206299
9.602439880371094,-0.6156288981437683,2.038367748260498
9.582735061645508,-0.6230365633964539,2.030958652496338
9.613080024719238,-0.6377730965614319,2.0292246341705322
9.630657196044922,-0.6364334225654602,2.02756929397583
9.612922668457031,-0.6367486119270325,2.0302491188049316
9.573749542236328,-0.6368274688720703,2.0244953632354736
9.641140937805176,-0.6403736472129822,2.0222883224487305
9.652017593383789,-0.6239034533500671,2.0360817909240723
9.625534057617188,-0.6341480612754822,2.0306432247161865
9.59542465209961,-0.6308382749557495,2.030170440673828
9.643189430236816,-0.6077484488487244,2.0477473735809326
9.653200149536133,-0.5961641073226929,2.0531859397888184
9.644608497619629,-0.5844221711158752,2.058230400085449
9.648391723632812,-0.5574709177017212,2.074309825897217
9.643505096435547,-0.5341446399688721,2.091413736343384
