2025-07-28, 16:46:56

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-4.137750715017319,-38.827672600746155,18.99520754814148
1.0,-4.839114472270012,-35.64395606517792,19.184376299381256
2.0,-5.12281209230423,-31.28604292869568,19.381427764892578
3.0,-5.6586854159832,-28.14960777759552,19.657298922538757
4.0,-6.029068678617477,-26.510465145111084,19.941051304340363
5.0,-6.312765926122665,-24.745236337184906,20.264214277267456
6.0,-6.328526884317398,-23.413433134555817,20.36668062210083
7.0,-6.714671105146408,-23.2164204120636,20.737136900424957
8.0,-6.706790626049042,-22.649024426937103,20.94995230436325
9.0,-6.895922869443893,-22.152553498744965,21.21005952358246
10.0,-6.911683827638626,-22.365327179431915,21.525339782238007
11.0,-7.069293409585953,-22.412610054016113,21.746036410331726
12.0,-7.226902991533279,-22.176195681095123,22.02979028224945
13.0,-7.226902991533279,-22.562339901924133,22.297778725624084
14.0,-7.321468740701675,-22.68054634332657,22.589415311813354
15.0,-7.28994682431221,-23.72865229845047,22.975634038448334
16.0,-7.037771493196487,-24.532462656497955,23.188449442386627
17.0,-7.274185866117477,-26.49470567703247,23.60619753599167
18.0,-6.90380334854126,-29.142549633979797,23.93724173307419
19.0,-6.478256732225418,-33.08279514312744,24.276170134544373
20.0,-6.170917302370071,-37.40130364894867,24.53627735376358
