2025-11-27, 16:26:20

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-8.653271943330765,-52.23239064216614,16.354726254940033
5.0,-9.441321343183517,-52.7603805065155,16.953760385513306
10.0,-10.536709427833557,-55.329424142837524,18.088774383068085
15.0,-10.820407420396805,-57.796019315719604,19.255314767360687
20.0,-10.985897481441498,-56.338125467300415,20.78442871570587
25.0,-10.670678317546844,-54.210394620895386,22.25048691034317
30.0,-9.953553229570389,-52.776145935058594,23.464320600032806
35.0,-9.102459996938705,-51.75955891609192,24.504747986793518
40.0,-8.353813737630844,-51.081836223602295,25.39541721343994
45.0,-6.943205744028091,-50.67993402481079,26.175740361213684
50.0,-4.445089772343636,-50.25438666343689,26.97182595729828
55.0,-3.5545941442251205,-49.67910945415497,28.169894218444824
60.0,-2.75078397244215,-49.686992168426514,29.998525977134705
65.0,-1.4189809560775757,-51.058197021484375,32.00056254863739
70.0,-1.1825662106275558,-53.122884035110474,32.66265392303467
75.0,-0.20538531243801117,-54.28131818771362,32.9542875289917
80.0,0.4409012384712696,-55.266380310058594,33.64790678024292
85.0,0.9768795222043991,-57.236504554748535,34.21541452407837
90.0,0.519721582531929,-59.947389364242554,34.43610966205597
