2025-12-18, 12:23:28

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-2.482847310602665,-49.868243932724,11.720091104507446
1.0,-2.8374694287776947,-49.79731738567352,11.672798544168472
2.0,-3.2472550868988037,-49.88400340080261,11.578214168548584
3.0,-3.7988893687725067,-49.95492696762085,11.562450230121613
4.0,-4.342643171548843,-50.16770362854004,11.617624014616013
5.0,-5.114931613206863,-50.44351816177368,11.743737012147903
6.0,-6.084232032299042,-50.77449679374695,11.940787732601166
7.0,-6.90380334854126,-51.21580362319946,12.161484360694885
8.0,-7.605166733264923,-51.84624791145325,12.405827641487122
9.0,-8.282889425754547,-52.84706950187683,12.642288208007812
10.0,-9.118220955133438,-54.09218668937683,13.052155077457428
11.0,-9.748660773038864,-55.589479207992554,13.367435336112976
12.0,-10.55247038602829,-57.80389904975891,13.840357959270477
13.0,-11.17502972483635,-60.10500192642212,14.297515153884888
14.0,-11.805468797683716,-62.626755237579346,14.778319001197815
15.0,-12.695963680744171,-65.59770107269287,15.337944030761719
16.0,-13.2791206240654,-67.81212091445923,15.826630592346191
17.0,-13.996244966983795,-69.36457753181458,16.33896231651306
18.0,-15.115274488925934,-70.00289559364319,16.914351284503937
19.0,-15.462017059326172,-69.8137640953064,17.44244694709778
20.0,-16.62832945585251,-68.45832467079163,18.08089166879654
21.0,-16.872625052928925,-66.69309139251709,18.64839792251587
22.0,-16.825342178344727,-64.62052464485168,19.137084484100342
23.0,-16.8174609541893,-62.437623739242554,19.649416208267212
24.0,-16.64409041404724,-59.69521403312683,20.21692246198654
25.0,-16.40767604112625,-56.70850872993469,20.815956592559814
26.0,-16.226424276828766,-54.4546902179718,21.312525868415833
27.0,-15.966367721557617,-52.35059857368469,21.79332971572876
28.0,-15.68267047405243,-50.24650692939758,22.368717193603516
29.0,-15.35957008600235,-48.73345196247101,22.770701348781586
30.0,-15.075872838497162,-47.10218906402588,23.36973547935486
