2025-07-28, 16:50:25

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-2.601054683327675,-59.56124663352966,20.122338831424713
1.0,-2.5143692269921303,-63.036543130874634,20.232686400413513
2.0,-2.5143692269921303,-67.18956232070923,20.343035459518433
3.0,-2.3567594587802887,-70.16050815582275,20.461265742778778
4.0,-2.3725204169750214,-72.69802689552307,20.666198432445526
5.0,-1.907571405172348,-73.65944385528564,20.75290083885193
6.0,-2.025778777897358,-74.30564761161804,20.871131122112274
7.0,-2.222791127860546,-74.21107888221741,21.09971046447754
8.0,-2.049420401453972,-74.58146214485168,21.28099650144577
9.0,-2.317357063293457,-75.29070973396301,21.62780612707138
10.0,-1.9942568615078926,-74.88880157470703,21.79332971572876
11.0,-2.8295889496803284,-74.73119497299194,22.021907567977905
12.0,-3.2866574823856354,-74.11651611328125,22.282014787197113
13.0,-2.86899134516716,-73.91950488090515,22.479066252708435
14.0,-3.058123216032982,-73.73825311660767,22.66823500394821
15.0,-3.373342752456665,-73.43879342079163,22.951988875865936
16.0,-3.420625999569893,-71.9099760055542,23.101747035980225
17.0,-3.499430790543556,-69.82164978981018,23.172685503959656
18.0,-3.562474623322487,-67.06347465515137,23.306679725646973
19.0,-3.7752479314804077,-63.24931979179382,23.44067394733429
20.0,-4.389926418662071,-58.66287350654602,23.629842698574066
