2025-06-18, 16:36:01

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,889.0928268432617,-51.830482482910156,202.19731330871582
1.0,949.4928359985352,-54.41528558731079,206.5876007080078
2.0,961.5445137023926,-56.25932216644287,206.50088787078857
3.0,958.9198112487793,-57.48867988586426,205.3264617919922
4.0,954.332447052002,-58.93868803977966,204.81414794921875
5.0,963.2076263427734,-59.69521403312683,204.62496280670166
6.0,965.1150703430176,-60.112881660461426,204.42790985107422
7.0,964.1534805297852,-60.609352588653564,204.01804447174072
8.0,966.9279098510742,-60.40446162223816,204.4673204421997
9.0,967.7003860473633,-60.71968078613281,204.45945262908936
10.0,966.7939186096191,-60.83788871765137,204.42004203796387
11.0,965.5486106872559,-60.632991790771484,204.6170949935913
12.0,968.803882598877,-60.499024391174316,204.88507747650146
13.0,968.3309555053711,-60.42022109031677,204.56979274749756
14.0,968.5516357421875,-60.451740026474,204.6722650527954
15.0,968.45703125,-59.95526909828186,205.11364936828613
16.0,968.3152198791504,-59.52184200286865,204.95600700378418
17.0,955.9798240661621,-58.55254530906677,205.3264617919922
18.0,962.0489120483398,-57.063132524490356,206.67428970336914
19.0,967.7713394165039,-55.02208471298218,208.16400051116943
20.0,966.8018341064453,-52.71310210227966,209.57489013671875
