2025-12-18, 12:27:27

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-3.617637977004051,-49.78155791759491,11.649152636528015
1.0,-4.129870235919952,-49.22992289066315,11.617624014616013
2.0,-4.5396555215120316,-48.59948456287384,11.507275700569153
3.0,-5.020365491509438,-47.992685437202454,11.459983885288239
4.0,-5.666565895080566,-47.21251726150513,11.515157669782639
5.0,-6.273363530635834,-46.36930525302887,11.625506728887558
6.0,-7.163859158754349,-45.392122864723206,11.791028827428818
7.0,-7.896745204925537,-44.39918100833893,12.003844231367111
8.0,-8.558706194162369,-43.12254190444946,12.20877692103386
9.0,-9.212786704301834,-41.64888858795166,12.50041276216507
10.0,-9.709258377552032,-39.89154100418091,12.79204785823822
11.0,-10.3160560131073,-37.795329093933105,13.170385360717773
12.0,-10.867690294981003,-35.24993062019348,13.556604087352753
13.0,-11.167149245738983,-32.602086663246155,13.934941589832306
14.0,-11.608456820249557,-29.69418466091156,14.423628151416779
15.0,-12.057644128799438,-26.28193199634552,15.00689834356308
16.0,-12.380744516849518,-23.610444366931915,15.582287311553955
17.0,-12.664441764354706,-21.939781308174133,16.134029626846313
18.0,-13.034825026988983,-20.97836136817932,16.772474348545074
19.0,-13.31852376461029,-21.009883284568787,17.395155131816864
20.0,-13.720427453517914,-21.916139125823975,18.120302259922028
21.0,-14.090810716152191,-23.45283478498459,18.782392144203186
22.0,-14.398150146007538,-25.407198071479797,19.334134459495544
23.0,-14.603042602539062,-27.637377381324768,19.83858495950699
24.0,-14.784294366836548,-30.324622988700867,20.453383028507233
25.0,-14.941903948783875,-33.27980935573578,21.083946526050568
26.0,-14.9497851729393,-35.48634648323059,21.564750373363495
27.0,-14.997068047523499,-37.57467567920685,22.06920087337494
28.0,-14.88674134016037,-39.489635825157166,22.54212200641632
29.0,-14.807936549186707,-41.034212708473206,22.99928069114685
30.0,-14.67396765947342,-42.44481921195984,23.448556661605835
