2025-12-18, 13:08:52

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-2.2543130442500114,-50.14405846595764,11.649152636528015
5.0,-4.862755909562111,-51.704394817352295,11.743737012147903
10.0,-8.582347631454468,-58.06395411491394,13.107328116893768
15.0,-11.868512630462646,-73.98254871368408,15.558640658855438
20.0,-13.767711818218231,-76.81952118873596,18.20700466632843
25.0,-13.925321400165558,-63.17839026451111,20.973597466945648
30.0,-12.6565620303154,-52.31907367706299,23.448556661605835
35.0,-11.372041702270508,-48.741331696510315,25.45059323310852
40.0,-10.182087868452072,-48.51279854774475,26.900887489318848
45.0,-9.638333320617676,-48.85953962802887,27.823084592819214
50.0,-8.14892053604126,-49.3481308221817,28.201422095298767
55.0,-6.643746793270111,-49.71851408481598,28.997507691383362
60.0,-6.501898169517517,-50.04161596298218,29.911822080612183
65.0,-5.847817286849022,-50.71145296096802,30.73943555355072
70.0,-5.367107316851616,-51.52314305305481,31.858685612678528
75.0,-4.728787392377853,-52.776145935058594,33.00946354866028
80.0,-4.224435985088348,-54.446810483932495,34.31788086891174
85.0,-2.4749668315052986,-56.92916512489319,35.00361740589142
90.0,-3.420625999569893,-60.03407835960388,34.90903377532959
