2025-06-13, 14:13:30

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-132.58975744247437,-53.29625606536865,-232.82172679901123
1.0,863.7757301330566,-55.12453317642212,194.01575326919556
2.0,942.2335624694824,-57.48080015182495,200.0455141067505
3.0,963.8933181762695,-59.01749134063721,199.45435523986816
4.0,967.747688293457,-60.14440059661865,199.15484189987183
5.0,966.2500381469727,-60.70391535758972,198.69768619537354
6.0,965.9269332885742,-61.255550384521484,198.62674474716187
7.0,967.2431945800781,-61.64957880973816,198.59521389007568
8.0,970.5300331115723,-61.54713034629822,198.71344566345215
9.0,970.3250885009766,-61.38952374458313,198.76861572265625
10.0,970.4511642456055,-61.7205023765564,198.4533429145813
11.0,969.3082809448242,-61.468327045440674,198.76861572265625
12.0,968.7171936035156,-61.66533827781677,198.42181205749512
13.0,966.6205406188965,-61.57865524291992,198.9183783531189
14.0,970.679759979248,-61.37375831604004,199.186372756958
15.0,969.5368766784668,-60.74331998825073,199.40706491470337
16.0,968.5043334960938,-60.53842902183533,199.21789169311523
17.0,969.4344520568848,-59.30907130241394,199.98245239257812
18.0,969.3161964416504,-57.74873495101929,200.79431533813477
19.0,970.7191467285156,-56.164753437042236,201.94509029388428
20.0,970.8453178405762,-53.59571576118469,203.75006198883057
