2025-09-23, 14:10:26

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-7.936147600412369,-32.73605406284332,11.593978106975555
1.0,-7.770656794309616,-30.482232570648193,11.806793510913849
2.0,-7.510600984096527,-27.93683409690857,11.972315609455109
3.0,-7.542122900485992,-25.241705775260925,12.114192545413971
4.0,-7.345110923051834,-22.231358289718628,12.248186767101288
5.0,-7.219022512435913,-19.709601998329163,12.39006370306015
6.0,-7.069293409585953,-16.49436056613922,12.50041276216507
7.0,-7.014130055904388,-14.539998769760132,12.642288208007812
8.0,-7.037771493196487,-12.538354098796844,12.799929082393646
9.0,-7.14021772146225,-11.17502972483635,12.965452671051025
10.0,-7.258424907922745,-10.150565207004547,13.115210831165314
11.0,-7.43967667222023,-9.315233677625656,13.296496868133545
12.0,-7.67609104514122,-8.495662361383438,13.477784395217896
13.0,-7.865223288536072,-8.267127722501755,13.674834370613098
14.0,-8.070115745067596,-7.636688649654388,13.911296427249908
15.0,-8.259247243404388,-7.518481463193893,14.131993055343628
16.0,-8.479901403188705,-7.534242421388626,14.368453621864319
17.0,-8.842404186725616,-9.118220955133438,14.675852656364441
18.0,-9.212786704301834,-10.16632616519928,14.95172381401062
19.0,-9.598930925130844,-11.821229755878448,15.290652215480804
20.0,-9.961433708667755,-14.752772450447083,15.653225779533386
21.0,-10.197848826646805,-17.392736673355103,15.960624814033508
22.0,-10.568231344223022,-20.087864995002747,16.315315663814545
23.0,-10.930734127759933,-23.058810830116272,16.677889227867126
24.0,-11.269595474004745,-26.116442680358887,17.07199066877365
25.0,-11.47448793053627,-28.21265161037445,17.40303635597229
