2025-06-13, 14:19:05

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,910.5083465576172,-44.107604026794434,210.73355674743652
1.0,951.3530731201172,-42.68123507499695,215.10019302368164
2.0,968.2600021362305,-40.51409959793091,217.2441005706787
3.0,969.5211410522461,-38.49669396877289,218.7732219696045
4.0,970.6482887268066,-37.1648907661438,219.4432020187378
5.0,970.5063819885254,-36.58961355686188,220.04222869873047
6.0,968.1180953979492,-35.80944538116455,220.294451713562
7.0,970.0807571411133,-35.83308756351471,220.23138999938965
8.0,970.0650215148926,-35.5966717004776,214.87948894500732
9.0,971.5941429138184,-35.52574813365936,214.70608711242676
10.0,969.1033363342285,-35.47058403491974,214.7376298904419
11.0,969.804859161377,-35.16324460506439,215.13960361480713
12.0,968.6619758605957,-35.38389801979065,214.8085594177246
13.0,970.1123237609863,-35.27357280254364,214.76914882659912
14.0,970.6719398498535,-35.777923464775085,214.63515758514404
15.0,966.525936126709,-36.077383160591125,214.17012214660645
16.0,970.9872245788574,-36.25863492488861,214.33563232421875
17.0,970.9477424621582,-37.2673362493515,213.7523651123047
18.0,970.7901000976562,-38.34696412086487,213.20061683654785
19.0,971.3891983032227,-40.159475803375244,211.78975105285645
20.0,970.8767890930176,-42.55514740943909,210.85965633392334
