2025-07-28, 16:55:12

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-2.3961618542671204,-64.03736472129822,20.24056911468506
1.0,-2.09670327603817,-69.98713612556458,20.453383028507233
2.0,-1.8287666141986847,-75.25918483734131,20.571614801883698
3.0,-1.6159933060407639,-80.4603099822998,20.611023902893066
4.0,-1.6081128269433975,-84.29811000823975,20.847485959529877
5.0,-1.6553957015275955,-86.19731068611145,20.942069590091705
6.0,-1.285012625157833,-86.54404878616333,20.91842293739319
7.0,-1.198327261954546,-87.48182654380798,21.257351338863373
8.0,-1.403219997882843,-87.26905584335327,21.414992213249207
9.0,-1.6238737851381302,-87.86008954048157,21.68298065662384
10.0,-1.103761326521635,-87.82857060432434,21.88791334629059
11.0,-1.340176071971655,-87.23753094673157,22.006143629550934
12.0,-2.104583755135536,-87.56063580513,22.36083596944809
13.0,-2.2621935233473778,-87.04051971435547,22.479066252708435
14.0,-2.246432565152645,-87.07992434501648,22.865286469459534
15.0,-1.9390935078263283,-85.38561463356018,22.849521040916443
16.0,-2.080942317843437,-83.73859524726868,23.030808568000793
17.0,-2.293715626001358,-80.61003684997559,23.10962826013565
18.0,-2.695620618760586,-76.24424695968628,23.180566728115082
19.0,-2.8768718242645264,-70.44420838356018,23.21997731924057
20.0,-3.633398935198784,-63.85611295700073,23.558904230594635
