2025-11-28, 15:47:23

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-5.099170655012131,-50.2701461315155,16.83553010225296
5.0,-6.572822481393814,-50.695693492889404,17.38727241754532
10.0,-8.14892053604126,-53.548431396484375,18.238532543182373
15.0,-9.559528529644012,-55.92833757400513,19.405072927474976
20.0,-11.876393109560013,-54.368001222610474,20.800192654132843
25.0,-13.531295955181122,-52.27179527282715,22.108609974384308
30.0,-13.302762806415558,-50.94786882400513,23.36973547935486
35.0,-13.586460053920746,-49.90764558315277,24.418047070503235
40.0,-13.444611430168152,-49.26144480705261,25.348126888275146
45.0,-12.695963680744171,-49.15899932384491,25.860458612442017
50.0,-10.733722150325775,-48.96986782550812,26.774773001670837
55.0,-8.944850414991379,-48.8201379776001,27.95707881450653
60.0,-8.401096612215042,-48.828017711639404,29.777827858924866
65.0,-8.992133289575577,-50.08889436721802,31.535521149635315
70.0,-9.685616195201874,-52.08265781402588,32.347372174263
75.0,-9.13398191332817,-53.31989526748657,32.69418179988861
80.0,-8.440499007701874,-54.39952611923218,33.45085680484772
85.0,-8.755718916654587,-55.991387367248535,34.499165415763855
