2025-06-18, 16:24:16

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-134.88298654556274,-42.01927185058594,-238.2277488708496
1.0,860.4889869689941,-40.285563468933105,205.35800457000732
2.0,951.4870643615723,-38.16571235656738,213.68930339813232
3.0,961.8912696838379,-36.47140562534332,215.36030769348145
4.0,962.537670135498,-35.951295495033264,215.43912887573242
5.0,959.2429161071777,-34.61160957813263,217.18106269836426
6.0,966.5102005004883,-34.76133942604065,217.41750240325928
7.0,967.9131507873535,-34.57220792770386,217.2283411026001
8.0,968.1811332702637,-34.41459834575653,217.71702766418457
9.0,968.2442665100098,-34.31215286254883,217.55151748657227
10.0,967.4875259399414,-34.42247807979584,217.81949996948242
11.0,965.8007621765137,-34.446120262145996,217.2992706298828
12.0,964.3584251403809,-34.1545432806015,217.40963459014893
13.0,967.6767349243164,-34.33579504489899,217.15741157531738
14.0,964.437198638916,-34.4539999961853,217.81160831451416
15.0,962.8134727478027,-35.0765585899353,216.94459915161133
16.0,965.9032821655273,-35.44694185256958,216.71600341796875
17.0,967.2353744506836,-36.58961355686188,216.77119731903076
18.0,967.9131507873535,-37.795329093933105,215.37606716156006
19.0,968.1575775146484,-39.8836612701416,214.0676498413086
20.0,967.8816795349121,-42.18476414680481,212.57007122039795
