2025-07-22, 15:05:01

Position (cm),B_x (uT),B_y (uT),B_z (uT)
0.0,-6.478256732225418,-46.51903510093689,19.720354676246643
1.0,-6.257602572441101,-46.574196219444275,19.862231612205505
2.0,-6.51765912771225,-46.574196219444275,20.01987248659134
3.0,-6.651627272367477,-46.62148058414459,20.1853945851326
4.0,-6.895922869443893,-46.64512276649475,20.343035459518433
5.0,-6.943205744028091,-46.71604633331299,20.524321496486664
6.0,-7.05353245139122,-46.77909016609192,20.666198432445526
7.0,-7.329349964857101,-46.79484963417053,20.902658998966217
8.0,-7.392393797636032,-46.86577618122101,21.11547440290451
9.0,-7.384513318538666,-46.96822166442871,21.288879215717316
10.0,-7.28994682431221,-47.047027945518494,21.525339782238007
11.0,-7.408154755830765,-47.086429595947266,21.746036410331726
12.0,-7.731254398822784,-47.10218906402588,21.966734528541565
13.0,-7.983430474996567,-47.14159369468689,22.19531238079071
14.0,-7.841581851243973,-47.22827672958374,22.384481132030487
15.0,-7.76277631521225,-47.29132056236267,22.620943188667297
16.0,-7.534242421388626,-47.39376902580261,22.8179931640625
17.0,-7.802178710699081,-47.39376902580261,23.046572506427765
18.0,-7.76277631521225,-47.44105041027069,23.25938791036606
19.0,-7.754895836114883,-47.4804550409317,23.448556661605835
20.0,-7.778537273406982,-47.52773642539978,23.67713451385498
